"Date","Site.Name","COUNTY","AQS_PARAMETER_DESC","AQI","Latitude","Longitude","Month","Year"
2018-01-01,"Bryson City","Swain","PM2.5",35,35.434767,-83.442133,1,2018
2018-01-01,"Castle Hayne","New Hanover","PM2.5",13,34.364167,-77.838611,1,2018
2018-01-01,"Clemmons Middle","Forsyth","PM2.5",24,36.026,-80.342,1,2018
2018-01-01,"Durham Armory","Durham","PM2.5",31,36.0329550008979,-78.904037,1,2018
2018-01-01,"Garinger High School","Mecklenburg","Ozone",32,35.2401000008895,-80.785683,1,2018
2018-01-01,"Garinger High School","Mecklenburg","PM2.5",20,35.2401000008895,-80.785683,1,2018
2018-01-01,"Hattie Avenue","Forsyth","PM2.5",22,36.110693332,-80.2264378,1,2018
2018-01-01,"Leggett","Edgecombe","PM2.5",14,35.988278,-77.5843,1,2018
2018-01-01,"Millbrook School","Wake","Ozone",34,35.856111,-78.574167,1,2018
2018-01-01,"Millbrook School","Wake","PM2.5",28,35.856111,-78.574167,1,2018
2018-01-01,"Pitt Agri. Center","Pitt","PM2.5",15,35.6412760008938,-77.360126,1,2018
2018-01-01,"West Johnston Co.","Johnston","PM2.5",24,35.59095,-78.4622,1,2018
2018-01-02,"Bryson City","Swain","PM2.5",51,35.434767,-83.442133,1,2018
2018-01-02,"Castle Hayne","New Hanover","PM2.5",15,34.364167,-77.838611,1,2018
2018-01-02,"Clemmons Middle","Forsyth","PM2.5",40,36.026,-80.342,1,2018
2018-01-02,"Durham Armory","Durham","PM2.5",37,36.0329550008979,-78.904037,1,2018
2018-01-02,"Frying Pan Mountain","Haywood","PM2.5",7,35.379167,-82.7925,1,2018
2018-01-02,"Garinger High School","Mecklenburg","Ozone",31,35.2401000008895,-80.785683,1,2018
2018-01-02,"Garinger High School","Mecklenburg","PM2.5",38,35.2401000008895,-80.785683,1,2018
2018-01-02,"Hattie Avenue","Forsyth","PM2.5",25.5,36.110693332,-80.2264378,1,2018
2018-01-02,"Leggett","Edgecombe","PM2.5",20,35.988278,-77.5843,1,2018
2018-01-02,"Linville Falls","Avery","PM2.5",12,35.972347,-81.933072,1,2018
2018-01-02,"Millbrook School","Wake","Ozone",31,35.856111,-78.574167,1,2018
2018-01-02,"Millbrook School","Wake","PM2.5",38.5,35.856111,-78.574167,1,2018
2018-01-02,"Pitt Agri. Center","Pitt","PM2.5",28,35.6412760008938,-77.360126,1,2018
2018-01-02,"West Johnston Co.","Johnston","PM2.5",35,35.59095,-78.4622,1,2018
2018-01-03,"Bryson City","Swain","PM2.5",44,35.434767,-83.442133,1,2018
2018-01-03,"Castle Hayne","New Hanover","PM2.5",18,34.364167,-77.838611,1,2018
2018-01-03,"Clemmons Middle","Forsyth","PM2.5",68,36.026,-80.342,1,2018
2018-01-03,"Durham Armory","Durham","PM2.5",58,36.0329550008979,-78.904037,1,2018
2018-01-03,"Garinger High School","Mecklenburg","Ozone",21,35.2401000008895,-80.785683,1,2018
2018-01-03,"Garinger High School","Mecklenburg","PM2.5",59,35.2401000008895,-80.785683,1,2018
2018-01-03,"Hattie Avenue","Forsyth","PM2.5",55,36.110693332,-80.2264378,1,2018
2018-01-03,"Leggett","Edgecombe","PM2.5",23,35.988278,-77.5843,1,2018
2018-01-03,"Mendenhall School","Guilford","PM2.5",60,36.1090060008986,-79.802314,1,2018
2018-01-03,"Millbrook School","Wake","Ozone",30,35.856111,-78.574167,1,2018
2018-01-03,"Millbrook School","Wake","PM2.5",61,35.856111,-78.574167,1,2018
2018-01-03,"Pitt Agri. Center","Pitt","PM2.5",34,35.6412760008938,-77.360126,1,2018
2018-01-03,"West Johnston Co.","Johnston","PM2.5",47,35.59095,-78.4622,1,2018
2018-01-04,"Bryson City","Swain","PM2.5",28,35.434767,-83.442133,1,2018
2018-01-04,"Castle Hayne","New Hanover","PM2.5",19,34.364167,-77.838611,1,2018
2018-01-04,"Clemmons Middle","Forsyth","PM2.5",42,36.026,-80.342,1,2018
2018-01-04,"Durham Armory","Durham","PM2.5",40,36.0329550008979,-78.904037,1,2018
2018-01-04,"Garinger High School","Mecklenburg","Ozone",30,35.2401000008895,-80.785683,1,2018
2018-01-04,"Garinger High School","Mecklenburg","PM2.5",39,35.2401000008895,-80.785683,1,2018
2018-01-04,"Hattie Avenue","Forsyth","PM2.5",35,36.110693332,-80.2264378,1,2018
2018-01-04,"Leggett","Edgecombe","PM2.5",23,35.988278,-77.5843,1,2018
2018-01-04,"Mendenhall School","Guilford","PM2.5",25,36.1090060008986,-79.802314,1,2018
2018-01-04,"Millbrook School","Wake","Ozone",32,35.856111,-78.574167,1,2018
2018-01-04,"Millbrook School","Wake","PM2.5",39,35.856111,-78.574167,1,2018
2018-01-04,"Pitt Agri. Center","Pitt","PM2.5",25,35.6412760008938,-77.360126,1,2018
2018-01-04,"West Johnston Co.","Johnston","PM2.5",30,35.59095,-78.4622,1,2018
2018-01-05,"Bryson City","Swain","PM2.5",30,35.434767,-83.442133,1,2018
2018-01-05,"Castle Hayne","New Hanover","PM2.5",15,34.364167,-77.838611,1,2018
2018-01-05,"Clemmons Middle","Forsyth","PM2.5",37,36.026,-80.342,1,2018
2018-01-05,"Durham Armory","Durham","PM2.5",32.5,36.0329550008979,-78.904037,1,2018
2018-01-05,"Frying Pan Mountain","Haywood","PM2.5",13,35.379167,-82.7925,1,2018
2018-01-05,"Garinger High School","Mecklenburg","Ozone",30,35.2401000008895,-80.785683,1,2018
2018-01-05,"Garinger High School","Mecklenburg","PM2.5",32,35.2401000008895,-80.785683,1,2018
2018-01-05,"Hattie Avenue","Forsyth","PM2.5",27,36.110693332,-80.2264378,1,2018
2018-01-05,"Leggett","Edgecombe","PM2.5",9,35.988278,-77.5843,1,2018
2018-01-05,"Linville Falls","Avery","PM2.5",15,35.972347,-81.933072,1,2018
2018-01-05,"Mendenhall School","Guilford","PM2.5",23,36.1090060008986,-79.802314,1,2018
2018-01-05,"Millbrook School","Wake","Ozone",33,35.856111,-78.574167,1,2018
2018-01-05,"Millbrook School","Wake","PM2.5",32,35.856111,-78.574167,1,2018
2018-01-05,"Pitt Agri. Center","Pitt","PM2.5",21,35.6412760008938,-77.360126,1,2018
2018-01-05,"West Johnston Co.","Johnston","PM2.5",32,35.59095,-78.4622,1,2018
2018-01-06,"Bryson City","Swain","PM2.5",35,35.434767,-83.442133,1,2018
2018-01-06,"Castle Hayne","New Hanover","PM2.5",21,34.364167,-77.838611,1,2018
2018-01-06,"Clemmons Middle","Forsyth","PM2.5",35,36.026,-80.342,1,2018
2018-01-06,"Durham Armory","Durham","PM2.5",32,36.0329550008979,-78.904037,1,2018
